issue_type,source_index,is_code,is_code_norm,title,detail
possible_merged_record_artifact,117,IS 10394: 1982,IS10394:1982,WOODEN SLEEPERS FOR  RAILWAY TRACK,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,118,IS 73: 1992,IS73:1992,PAVING BITUMEN,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,119,IS 212: 1983,IS212:1983,CRUDE COAL TAR FOR GENERAL USE,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,120,IS 215: 1995,IS215:1995,ROAD TAR,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,121,IS 216: 1961,IS216:1961,COAL TAR PITCH,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,122,IS 218: 1983,IS218:1983,CREOSOTE OIL FOR USE AS WOOD,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,123,IS 454: 1994,IS454:1994,CUTBACK  BITUMEN FROM WAXY CRUDE,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,124,IS 702: 1988,IS702:1988,INDUSTRIAL BITUMEN,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,127,IS 9912: 1981,IS9912:1981,COAL TAR BASED COATING MATERIALS AND,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,129,IS 1542: 1992,IS1542:1992,SAND FOR  PLASTER,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,136,IS 13753: 1993,IS13753:1993,DUST– PRESSED CERAMIC TILES WITH WATER,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,137,IS 13754: 1993,IS13754:1993,DUST – PRESSED CERAMIC TILES WITH,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,138,IS 13755: 1993,IS13755:1993,DUST– PRESSED CERAMIC TILES,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,139,IS 13756: 1993,IS13756:1993,DUST – PRESSED CERAMIC TILES WITH LOW,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,142,IS 1195: 2002,IS1195:2002,BITUMEN MASTIC FOR FLOORING,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,143,IS 5317: 2002,IS5317:2002,BITUMEN MASTIC FOR  BRIDGE,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,144,IS 8374: 1977,IS8374:1977,"BITUMEN MASTIC, ANTI-STATIC AND",text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,145,IS 9510: 1980,IS9510:1980,"BITUMEN MASTIC, ACID – RESISTING GRADE",text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,147,IS 13026: 1991,IS13026:1991,BITUMEN MASTIC FOR FLOORING FOR,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,148,IS 653: 1992,IS653:1992,LINOLEUM SHEET  AND TILES,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,150,IS 3462: 1986,IS3462:1986,UNBACKED FLEXIBLE PVC FLOORING,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,151,IS 9197: 1979,IS9197:1979,"EPOXY RESIN, HARDENERS AND EPOXY",text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,152,IS 12866: 1989,IS12866:1989,PLASTIC TRANSLUCENT SHEET MADE,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,154,IS 809: 1992,IS809:1992,RUBBER FLOORING MATERIALS,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,156,IS 1580: 1991,IS1580:1991,BITUMINOUS COMPOUNDS FOR,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,158,IS 3037: 1986,IS3037:1986,BITUMEN MASTIC FOR USE IN,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,159,IS 3384: 1986,IS3384:1986,BITUMEN PRIMER FOR USE IN,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,160,IS 5871: 1987,IS5871:1987,BITUMEN MASTIC FOR,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,163,IS 14695: 1999,IS14695:1999,GLASS FIBRE BASE COAL,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,176,IS 2501: 1995,IS2501:1995,SOLID DRAWN COPPER TUBES,text contains repeated IS-code-like references or parser merge markers
missing_scope,182,IS 1879: 1987,IS1879:1987,MALLEABLE CAST IRON PIPE FITTINGS,scope is missing
possible_merged_record_artifact,189,IS 8329: 2000,IS8329:2000,CENTRIFUGALLY CAST (SPUN) DUCTILE IRON,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,192,IS 10292: 1988,IS10292:1988,DIMENSIONAL REQUIREMENTS FOR RUBBER,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,195,IS 12987: 1991,IS12987:1991,CAST IRON DETACHABLE JOINTS FOR USE WITH,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,201,IS 4984: 1995,IS4984:1995,HIGH DENSITY POLYETHYLENE PIPES,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,202,IS 4985: 2000,IS4985:2000,UNPLASTICIZED PVC PIPES FOR POTABLE,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,210,IS 7834 (Part 8): 1987,IS7834(PART 8):1987,- INJECTION MOULDED PVC SOCKET,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,211,IS 8008 (Part 1): 2003,IS8008(PART 1):2003,INJECTION MOULDED HIGH DENSITY,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,217,IS 8008 (Part 7): 2003,IS8008(PART 7):2003,INJECTION MOULDED HIGH DENSITY,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,218,IS 8360 (Part 1): 1977,IS8360(PART 1):1977,FABRICATED HIGH DENSITY,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,220,IS 8360 (Part 3): 1977,IS8360(PART 3):1977,FABRICATED HIGH  DENSITY POLYETHYLENE,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,222,IS 10124 (Part 3): 1988,IS10124(PART 3):1988,FABRICATED PVC FITTINGS FOR,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,233,IS 12709: 1994,IS12709:1994,GLASS FIBRE REINFORCED PLASTICS (GRP),text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,234,IS 12818: 1992,IS12818:1992,UNPLASTICISED   PVC SCREEN AND CASING,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,235,IS 13592: 1992,IS13592:1992,UNPLASTILIZED POLYVINYL CHLORIDE (UPVC),text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,237,IS 14402: 1996,IS14402:1996,GLASS FIBRE REINFORCED PLASTICS (GRP),text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,238,IS 14735: 1999,IS14735:1999,UNPLASTICIZED POLYVINYL CHLORIDE (UPVC),text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,239,IS 1239 (Part 1): 2004,IS1239(PART 1):2004,"STEEL TUBES, TUBULARS ANDOTHER",text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,240,IS 3589: 2001,IS3589:2001,SEAMLESS OR ELECTRICALLY WELDED STEEL,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,242,IS 5504: 1997,IS5504:1997,SPIRAL WELDED PIPES,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,247,IS 771 (Part 2): 1985,IS771(PART 2):1985,GLAZED FIRE – CLAY SANITARY,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,274,IS 3311: 1979,IS3311:1979,WASTE PLUG AND ITS ACCESSORIES FOR SINKS,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,291,IS 2373: 1981,IS2373:1981,WATER METERS (BULK TYPE),text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,335,IS 14912: 2001,IS14912:2001,DOOR CLOSERS - CONCEALED TYPE,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,339,IS 852: 1994,IS852:1994,ANIMAL GLUE FOR GENERAL WOOD-WORKING,text contains repeated IS-code-like references or parser merge markers
