standard_code,old_product,new_product,old_confidence,new_confidence,changed,reason
IS 12988: 1991,pipe,pipe,low,high,True,title_scope_or_summary
IS 12994: 1990,,adhesive,low,high,True,title_scope_or_summary
IS 13000: 1990,cement,,high,high,True,non_product_family_link
IS 13008: 1990,cement,cement,low,high,True,title_scope_or_summary
IS 13026: 1991,,aggregate,low,low,True,full_text_repeated_terms
IS 13049: 1991,valve,,low,high,True,non_product_family_link
IS 13114: 1991,valve,valve,low,high,True,title_scope_or_summary
IS 13204: 1991,pipe,thermal_insulation,low,high,True,title_scope_or_summary
IS 1322: 1993,,waterproofing_membrane,low,high,True,title_scope_or_summary
IS 1326: 1992,,timber,low,high,True,title_scope_or_summary
IS 1328: 1996,,board,low,high,True,title_scope_or_summary
IS 13317: 1992,tile,tile,high,high,False,unchanged
IS 13349: 1992,,gate,low,high,True,title_scope_or_summary
IS 13356: 1992,,water_tank,low,high,True,title_scope_or_summary
IS 13382: 2004,pipe,pipe,low,high,True,title_scope_or_summary
IS 1341: 1992,,hinge,low,high,True,title_scope_or_summary
IS 13592: 1992,pipe,pipe,low,high,True,title_scope_or_summary
IS 1361: 1978,,window,low,high,True,title_scope_or_summary
IS 13620: 1993,,coating,low,high,True,title_scope_or_summary
IS 1363 (Part 1): 2002,,bolt,low,high,True,title_scope_or_summary
IS 1363 (Part 2): 2002,screw,screw,low,high,True,title_scope_or_summary
IS 1363 (Part 3): 2002,nut,nut,low,high,True,title_scope_or_summary
IS 1364 (Part 1): 2002,bolt,bolt,low,high,True,title_scope_or_summary
IS 1364 (Part 2): 2002,screw,screw,low,low,False,unchanged
IS 1364 (Part 3): 2002,nut,nut,low,high,True,title_scope_or_summary
IS 1364 (Part 4): 2003,nut,nut,low,high,True,title_scope_or_summary
IS 1364 (Part 5): 2002,nut,nut,low,high,True,title_scope_or_summary
IS 1365: 1978,screw,screw,high,high,False,unchanged
IS 1366: 2002,screw,screw,low,high,True,title_scope_or_summary
IS 13753: 1993,tile,tile,high,high,False,unchanged
IS 13754: 1993,tile,tile,high,high,False,unchanged
IS 13755: 1993,tile,tile,high,high,False,unchanged
IS 13756: 1993,tile,tile,high,high,False,unchanged
IS 13757: 1993,,brick,low,high,True,title_scope_or_summary
IS 13957: 1994,,board,low,high,True,title_scope_or_summary
IS 13958: 1994,,board,low,high,True,title_scope_or_summary
IS 1395: 1982,,electrode,low,high,True,title_scope_or_summary
IS 13983: 1994,,,low,high,True,non_product_family_link
IS 13990: 1994,,waterproofing_membrane,low,low,True,full_text_repeated_terms
IS 14143: 1994,,brick,low,high,True,title_scope_or_summary
IS 14182: 1994,cement,pipe,low,high,True,title_scope_or_summary
IS 14201: 1994,,channel,low,high,True,title_scope_or_summary
IS 14223 (Part 1): 1995,,stone,low,high,True,title_scope_or_summary
IS 14241: 1995,,channel,low,high,True,title_scope_or_summary
IS 14268: 1995,,steel_sheet,low,low,True,full_text_repeated_terms
IS 14276: 1995,cement,cement,high,low,True,full_text_repeated_terms
IS 14333: 1996,pipe,pipe,high,high,False,unchanged
IS 14402: 1996,pipe,glass,low,high,True,title_scope_or_summary
IS 14443: 1997,,glass,low,high,True,title_scope_or_summary
IS 14587: 1998,,board,low,high,True,title_scope_or_summary
IS 14588: 1999,,board,low,low,True,full_text_repeated_terms
IS 14616: 1999,,door,low,low,True,full_text_repeated_terms
IS 14643: 1999,pipe,pipe,medium,high,True,title_scope_or_summary
IS 1464: 1992,tile,tile,high,high,False,unchanged
IS 14695: 1999,,,low,high,True,non_product_family_link
IS 14735: 1999,pipe_fitting,pipe_fitting,low,high,True,title_scope_or_summary
IS 14753: 1999,,adhesive,low,low,True,full_text_repeated_terms
IS 14772: 2000,,,low,medium,True,non_product_family_link
IS 1478: 1992,tile,tile,high,high,False,unchanged
IS 14842: 2000,,board,low,high,True,title_scope_or_summary
IS 14846: 2000,valve,valve,high,high,False,unchanged
IS 14856: 2000,,glass,low,high,True,title_scope_or_summary
IS 14862: 2000,cement,cement,high,high,False,unchanged
IS 14871: 2000,pipe_fitting,pipe_fitting,low,low,False,unchanged
IS 1489 (Part 1): 1991,cement,cement,high,high,False,unchanged
IS 1489 (Part 2): 1991,cement,cement,high,high,False,unchanged
IS 14912: 2001,,door,low,high,True,title_scope_or_summary
IS 1536: 2001,pipe,pipe,medium,high,True,title_scope_or_summary
IS 1537: 1976,pipe,pipe,high,high,False,unchanged
IS 15380: 2003,,door,low,high,True,title_scope_or_summary
IS 1538: 1993,pipe,pipe_fitting,low,high,True,title_scope_or_summary
IS 1542: 1992,cement,cement,low,high,True,title_scope_or_summary
IS 15476: 2004,,roofing_sheet,low,high,True,title_scope_or_summary
IS 15491: 2004,,board,low,high,True,title_scope_or_summary
IS 1554 (Part 1): 1988,thermal_insulation,thermal_insulation,low,high,True,title_scope_or_summary
IS 1566: 1982,,wire_fabric,low,high,True,title_scope_or_summary
IS 1580: 1991,,waterproofing_membrane,low,high,True,title_scope_or_summary
IS 1592: 2003,pipe,pipe,low,high,True,title_scope_or_summary
IS 1626 (Part 1): 1994,cement,pipe_fitting,high,high,True,title_scope_or_summary
IS 1626 (Part 2): 1994,cement,pipe_fitting,high,high,True,title_scope_or_summary
IS 1626: 1984,cement,pipe_fitting,high,high,True,title_scope_or_summary
IS 1658: 1977,thermal_insulation,board,low,high,True,title_scope_or_summary
IS 1659: 2004,,board,low,high,True,title_scope_or_summary
IS 1700: 1973,,pipe_fitting,low,low,True,full_text_repeated_terms
IS 1701: 1960,valve,valve,high,high,False,unchanged
IS 1703: 2000,pipe_fitting,valve,high,high,True,title_scope_or_summary
IS 1711: 1984,,washer,low,low,True,full_text_repeated_terms
IS 1726: 1991,,coating,low,low,True,full_text_repeated_terms
IS 1730: 1989,,flats_structural_engineering_purposes,low,medium,True,source_grounded_title_phrase
IS 1732: 1989,,rivet,low,high,True,title_scope_or_summary
IS 1785 (Part 2): 1983,pipe,pipe,low,high,True,title_scope_or_summary
IS 1785 (Part I): 1983,,pipe_fitting,low,low,True,full_text_repeated_terms
IS 1786: 1985,,pipe_fitting,low,low,True,full_text_repeated_terms
IS 1795: 1982,,pipe,low,low,True,full_text_repeated_terms
IS 1823: 1980,,door,low,high,True,title_scope_or_summary
IS 1826: 1961,,window,low,high,True,title_scope_or_summary
IS 1834: 1984,,sealant,low,low,True,full_text_repeated_terms
IS 1838 (Part 2): 1984,,paint,low,low,True,full_text_repeated_terms
IS 1863: 1979,,rolled_steel_bulb_flats,low,medium,True,source_grounded_title_phrase
IS 1879: 1987,pipe_fitting,pipe_fitting,high,high,False,unchanged
IS 190: 1991,,timber,low,high,True,title_scope_or_summary
IS 1929: 1982,,rivet,low,high,True,title_scope_or_summary
IS 1948: 1961,pipe_fitting,window,low,high,True,title_scope_or_summary
IS 1949: 1961,,window,low,high,True,title_scope_or_summary
IS 1977: 1996,,pipe_fitting,low,low,True,full_text_repeated_terms
IS 2002: 1979,pipe,pipe_fitting,low,high,True,title_scope_or_summary
IS 2016: 1967,washer,washer,high,high,False,unchanged
IS 2036: 1995,,thermal_insulation,low,low,True,full_text_repeated_terms
IS 204 (Part 1): 1991,bolt,bolt,high,high,False,unchanged
IS 204 (Part 2): 1992,bolt,bolt,high,high,False,unchanged
IS 2046: 1995,,glass,low,low,True,full_text_repeated_terms
IS 205: 1992,,hinge,low,high,True,title_scope_or_summary
IS 2062: 1999,,pipe_fitting,low,low,True,full_text_repeated_terms
IS 206: 1992,,pipe_fitting,low,low,True,full_text_repeated_terms
IS 207: 1964,,door,low,high,True,title_scope_or_summary
IS 2086: 1993,,thermal_insulation,low,low,True,full_text_repeated_terms
IS 208: 1996,,door,low,high,True,title_scope_or_summary
IS 2090: 1983,,used_in_prestressed_concrete,low,medium,True,source_grounded_title_phrase
IS 2095 (Part 1): 1996,,board,low,high,True,title_scope_or_summary
IS 2095 (Part 3): 1996,,board,low,low,True,full_text_repeated_terms
IS 2096: 1992,cement,cement,high,high,False,unchanged
IS 2098: 1997,cement,board,high,low,True,full_text_repeated_terms
IS 2104: 1981,,pipe,low,low,True,full_text_repeated_terms
IS 2116: 1980,,stone,low,high,True,title_scope_or_summary
IS 212: 1983,,crude_coal_tar_use,low,medium,True,source_grounded_title_phrase
IS 2140: 1978,,aggregate,low,low,True,full_text_repeated_terms
IS 2155: 1982,,rivet,low,high,True,title_scope_or_summary
IS 215: 1995,,waterproofing_membrane,low,low,True,full_text_repeated_terms
IS 216: 1961,,timber,low,low,True,full_text_repeated_terms
IS 2180: 1988,,brick,low,high,True,title_scope_or_summary
IS 2185 (Part 1): 1979,,block,low,high,True,title_scope_or_summary
IS 2185 (Part 2): 1983,,block,low,high,True,title_scope_or_summary
IS 2185 (Part 3): 1984,thermal_insulation,block,low,high,True,title_scope_or_summary
IS 218: 1983,,use_as_wood_preservatives,low,medium,True,source_grounded_title_phrase
IS 2191 (Part 1): 1983,,door,low,high,True,title_scope_or_summary
IS 2191 (Part 2): 1983,,door,low,high,True,title_scope_or_summary
IS 2202 (Part 1): 1999,,door,low,high,True,title_scope_or_summary
IS 2202 (Part 2): 1983,,door,low,high,True,title_scope_or_summary
IS 2209: 1976,,bolt,low,low,True,full_text_repeated_terms
IS 2222: 1991,,brick,low,high,True,title_scope_or_summary
IS 2314: 1986,,steel_sheet,low,high,True,title_scope_or_summary
IS 2326: 1987,,pipe,low,low,True,full_text_repeated_terms
IS 2365: 1977,,ropes_lifts_elevators_hoists,low,medium,True,source_grounded_title_phrase
IS 2372: 2004,,timber,low,high,True,title_scope_or_summary
IS 2373: 1981,,latch,low,low,True,full_text_repeated_terms
IS 2412: 1975,,pipe_fitting,low,low,True,full_text_repeated_terms
IS 2501: 1995,pipe,pipe,high,high,False,unchanged
IS 2508: 1984,,low_density_polythylene_films,low,medium,True,source_grounded_title_phrase
IS 2525: 1982,,aluminium_aluminium_alloys_wire,low,medium,True,source_grounded_title_phrase
IS 2547 (Part 1): 1976,,board,low,low,True,full_text_repeated_terms
IS 2547 (Part 2): 1976,,aggregate,low,high,True,title_scope_or_summary
IS 2548 (Part 1): 1996,,bolt,low,low,True,full_text_repeated_terms
IS 2548 (Part 2): 1996,,bolt,low,low,True,full_text_repeated_terms
IS 2556 (Part 1): 1994,,,low,medium,True,non_product_family_link
IS 2556 (Part 14): 1994,,pipe_fitting,low,low,True,full_text_repeated_terms
IS 2556 (Part 2): 1994,,vitreous_sanitary_appliances,low,medium,True,source_grounded_title_phrase
IS 2556 (Part 4): 1994,,bolt,low,low,True,full_text_repeated_terms
IS 2556 (Part 9): 1994,,vitreous_sanitary_appliances,low,medium,True,source_grounded_title_phrase
IS 2585: 1968,bolt,nut,low,low,True,full_text_repeated_terms
IS 2645: 2003,cement,cement,high,low,True,full_text_repeated_terms
