standard_code,old_product,new_product,old_confidence,new_confidence,changed,reason
IS 638: 1979,,pipe_fitting,low,low,True,full_text_repeated_terms
IS 6418: 1971,,bolt,low,low,True,full_text_repeated_terms
IS 6445: 1985,,pipe_fitting,low,high,True,title_scope_or_summary
IS 6452: 1989,cement,cement,high,high,False,unchanged
IS 651: 1992,pipe,pipe_fitting,low,high,True,title_scope_or_summary
IS 6523: 1983,,door,low,low,True,full_text_repeated_terms
IS 6538: 1971,,plug_socket,low,high,True,title_scope_or_summary
IS 653: 1992,tile,tile,high,high,False,unchanged
IS 654: 1992,tile,tile,high,high,False,unchanged
IS 6560: 1996,,rod,low,high,True,title_scope_or_summary
IS 6579: 1981,,aggregate,low,high,True,title_scope_or_summary
IS 6598: 1972,thermal_insulation,thermal_insulation,high,high,False,unchanged
IS 6607: 1972,,door,low,high,True,title_scope_or_summary
IS 6610: 1972,washer,washer,high,high,False,unchanged
IS 6623: 2004,nut,nut,high,high,False,unchanged
IS 6639: 1972,bolt,bolt,high,high,False,unchanged
IS 6649: 1985,washer,bolt,high,low,True,full_text_repeated_terms
IS 6733: 1972,,pipe_fitting,low,low,True,full_text_repeated_terms
IS 6736: 1972,screw,screw,low,high,True,title_scope_or_summary
IS 6739: 1972,screw,screw,high,high,False,unchanged
IS 6760: 1972,screw,screw,high,high,False,unchanged
IS 6908: 1991,pipe,pipe_fitting,low,low,True,full_text_repeated_terms
IS 6909: 1990,cement,cement,high,high,False,unchanged
IS 694: 1990,,pipe_fitting,low,low,True,full_text_repeated_terms
IS 702: 1988,,industrial_bitumen,low,medium,True,source_grounded_title_phrase
IS 7098 (Part 1): 1988,,thermal_insulation,low,low,True,full_text_repeated_terms
IS 712: 1984,,building_limes,low,medium,True,source_grounded_title_phrase
IS 7181: 1986,pipe,pipe,low,high,True,title_scope_or_summary
IS 7193: 1974,,glass,low,high,True,title_scope_or_summary
IS 7196: 1974,,door,low,low,True,full_text_repeated_terms
IS 7197: 1974,,door,low,high,True,title_scope_or_summary
IS 7226: 1974,,steel_strip,low,high,True,title_scope_or_summary
IS 7231: 1994,,pipe,low,low,True,full_text_repeated_terms
IS 723: 1972,,pipe_fitting,low,low,True,full_text_repeated_terms
IS 724: 1964,screw,screw,low,high,True,title_scope_or_summary
IS 725: 1961,,coating,low,low,True,full_text_repeated_terms
IS 7280: 1974,,paint,low,low,True,full_text_repeated_terms
IS 7308: 1999,,timber,low,high,True,title_scope_or_summary
IS 730: 1978,bolt,bolt,high,low,True,full_text_repeated_terms
IS 7316: 1974,,board,low,high,True,title_scope_or_summary
IS 7319: 1974,pipe,pipe,high,high,False,unchanged
IS 7322: 1985,valve,,low,high,True,non_product_family_link
IS 733: 1983,,rod,low,high,True,title_scope_or_summary
IS 736: 1986,,pipe_fitting,low,low,True,full_text_repeated_terms
IS 737: 1986,,pipe_fitting,low,low,True,full_text_repeated_terms
IS 738: 1994,pipe,pipe,low,high,True,title_scope_or_summary
IS 739: 1992,,rivet,low,low,True,full_text_repeated_terms
IS 73: 1992,,paving_bitumen,low,medium,True,source_grounded_title_phrase
IS 740: 1977,,rivet,low,high,True,title_scope_or_summary
IS 7452: 1990,,window,low,high,True,title_scope_or_summary
IS 7509: 1993,cement,thermal_insulation,high,high,True,title_scope_or_summary
IS 7534: 1985,bolt,bolt,high,high,False,unchanged
IS 7540: 1974,bolt,bolt,low,low,False,unchanged
IS 7556: 1988,,burnt_clay_jallies,low,medium,True,source_grounded_title_phrase
IS 771 (Part 1): 1979,,,low,medium,True,non_product_family_link
IS 771 (Part 2): 1985,,sink,low,high,True,title_scope_or_summary
IS 771 (Part 5): 1979,,clay_appliances_shower_trays,low,medium,True,source_grounded_title_phrase
IS 771 (Part 7): 1981,,sink,low,high,True,title_scope_or_summary
IS 772: 1973,,window,low,low,True,full_text_repeated_terms
IS 773: 1988,,pipe,low,low,True,full_text_repeated_terms
IS 774: 2004,pipe,pipe,low,high,True,title_scope_or_summary
IS 775: 1970,,sink,low,high,True,title_scope_or_summary
IS 778: 1984,valve,valve,high,high,False,unchanged
IS 779: 1994,,,low,medium,True,non_product_family_link
IS 781: 1984,valve,valve,low,low,False,unchanged
IS 782: 1978,,,low,low,False,unchanged
IS 7834 (Part 2): 1987,,pipe_fitting,low,high,True,title_scope_or_summary
IS 7834 (Part 3): 1987,,pipe_fitting,low,high,True,title_scope_or_summary
IS 7834 (Part 4): 1987,,pipe_fitting,low,high,True,title_scope_or_summary
IS 7834 (Part 5): 1987,,pipe_fitting,low,high,True,title_scope_or_summary
IS 7834 (Part 6): 1987,pipe_fitting,pipe_fitting,high,high,False,unchanged
IS 7834 (Part 7): 1987,,pipe_fitting,low,low,True,full_text_repeated_terms
IS 7834 (Part 8): 1987,,pipe_fitting,low,high,True,title_scope_or_summary
IS 7834: 1987,pipe_fitting,,high,high,True,non_product_family_link
IS 784: 2001,pipe,pipe,high,high,False,unchanged
IS 7887: 1992,,rod,low,high,True,title_scope_or_summary
IS 8008 (Part 1): 2003,pipe,,low,high,True,non_product_family_link
IS 8008 (Part 2): 2003,,pipe_fitting,low,high,True,title_scope_or_summary
IS 8008 (Part 3): 2003,,pipe_fitting,low,high,True,title_scope_or_summary
IS 8008 (Part 4): 2003,,pipe_fitting,low,high,True,title_scope_or_summary
IS 8008 (Part 5): 2003,,pipe_fitting,low,high,True,title_scope_or_summary
IS 8008 (Part 6): 2003,pipe,pipe,medium,high,True,title_scope_or_summary
IS 8008 (Part 7): 2003,pipe_fitting,,low,high,True,non_product_family_link
IS 8033: 1976,washer,washer,high,high,False,unchanged
IS 8041: 1990,cement,cement,high,high,False,unchanged
IS 8042: 1989,cement,cement,high,high,False,unchanged
IS 8043: 1991,cement,cement,high,high,False,unchanged
IS 804: 1967,,water_tank,low,high,True,title_scope_or_summary
IS 8081: 1976,,steel_section,low,high,True,title_scope_or_summary
IS 808: 1989,,channel,low,high,True,title_scope_or_summary
IS 809: 1992,,waterproofing_membrane,low,low,True,full_text_repeated_terms
IS 8112: 1989,cement,cement,high,high,False,unchanged
IS 811: 1987,,steel_section,low,high,True,title_scope_or_summary
IS 814: 2004,,electrode,low,high,True,title_scope_or_summary
IS 8154: 1993,thermal_insulation,thermal_insulation,high,high,False,unchanged
IS 8183: 1993,thermal_insulation,thermal_insulation,high,high,False,unchanged
IS 8272: 1984,,board,low,high,True,title_scope_or_summary
IS 8329: 2000,pipe,,low,high,True,non_product_family_link
IS 8360 (Part 1): 1977,pipe,pipe_fitting,low,low,True,full_text_repeated_terms
IS 8360 (Part 2): 1977,,pipe_fitting,low,high,True,title_scope_or_summary
IS 8360 (Part 3): 1977,,pipe_fitting,low,high,True,title_scope_or_summary
IS 8363: 1976,,electrode,low,high,True,title_scope_or_summary
IS 8374: 1977,,aggregate,low,low,True,full_text_repeated_terms
IS 8412: 1977,bolt,bolt,high,high,False,unchanged
IS 849: 1994,,adhesive,low,low,True,full_text_repeated_terms
IS 8500: 1991,,pipe_fitting,low,low,True,full_text_repeated_terms
IS 851: 1978,,adhesive,low,high,True,title_scope_or_summary
IS 852: 1994,,board,low,low,True,full_text_repeated_terms
IS 8718: 1978,,sink,low,high,True,title_scope_or_summary
IS 8727: 1978,,,low,medium,True,non_product_family_link
IS 875 (Part 1): 1987,,,low,medium,True,non_product_family_link
IS 8760: 1978,,door,low,high,True,title_scope_or_summary
IS 876: 1992,,timber,low,high,True,title_scope_or_summary
IS 8794: 1988,pipe,pipe,low,low,False,unchanged
IS 8828: 1996,,,low,medium,True,non_product_family_link
IS 8869: 1978,washer,washer,high,low,True,full_text_repeated_terms
IS 8870: 1978,cement,pipe_fitting,high,high,True,title_scope_or_summary
IS 8887: 2004,,cement,low,low,True,full_text_repeated_terms
IS 8931: 1993,valve,valve,low,high,True,title_scope_or_summary
IS 9106: 1979,,hinge,low,high,True,title_scope_or_summary
IS 9131: 1979,,door,low,high,True,title_scope_or_summary
IS 9142: 1979,,aggregate,low,high,True,title_scope_or_summary
IS 9197: 1979,,aggregate,low,low,True,full_text_repeated_terms
IS 9338: 1984,valve,valve,high,high,False,unchanged
IS 9394: 1979,,stone,low,high,True,title_scope_or_summary
IS 9428: 1993,thermal_insulation,thermal_insulation,high,high,False,unchanged
IS 9510: 1980,tile,aggregate,low,high,True,title_scope_or_summary
IS 9523: 2000,pipe,pipe_fitting,low,high,True,title_scope_or_summary
IS 9537 (Part 1): 1980,,,low,medium,True,non_product_family_link
IS 9537 (Part 3): 1983,,,low,high,True,non_product_family_link
IS 9537 (Part 4): 1983,,,low,low,False,unchanged
IS 9537 (Part 5): 2000,,,low,medium,True,non_product_family_link
IS 9537 (Part II): 1981,,,low,high,True,non_product_family_link
IS 9627: 1980,pipe,pipe,low,low,False,unchanged
IS 9739: 1981,valve,valve,high,high,False,unchanged
IS 9742: 1993,thermal_insulation,thermal_insulation,high,high,False,unchanged
IS 9743: 1990,thermal_insulation,thermal_insulation,high,high,False,unchanged
IS 9758: 1981,valve,valve,low,high,True,title_scope_or_summary
IS 9762: 1994,valve,valve,medium,high,True,title_scope_or_summary
IS 9763: 2000,valve,valve,high,high,False,unchanged
IS 9842: 1994,thermal_insulation,thermal_insulation,high,high,False,unchanged
IS 9893: 1981,,block,low,high,True,title_scope_or_summary
IS 9912: 1981,pipe,coating,low,high,True,title_scope_or_summary
IS 9968 (Part 1): 1998,thermal_insulation,thermal_insulation,low,low,False,unchanged
